dataset,fold,phase,fe,count
pittsburg-bridges-TYPE,1,early,minmax,0
pittsburg-bridges-TYPE,1,mid,identity,15
pittsburg-bridges-TYPE,1,mid,autofeat,2
pittsburg-bridges-TYPE,1,mid,random_proj,8
pittsburg-bridges-TYPE,1,mid,ht_svd,8
pittsburg-bridges-TYPE,1,mid,robust,0
pittsburg-bridges-TYPE,1,mid,minmax,0
pittsburg-bridges-TYPE,1,late,identity,7
pittsburg-bridges-TYPE,1,late,autofeat,0
pittsburg-bridges-TYPE,1,late,random_proj,13
pittsburg-bridges-TYPE,1,late,ht_svd,13
pittsburg-bridges-TYPE,1,late,robust,0
